Pick,MLS team,Player,Position,College,Other,year,PDL or NPSL affiliation,Signed,Pos.,Conference,Club team,Academy team,Amateur team
1,New York City FC,Jack Harrison,Midfielder,Wake Forest,,2016,,,,,,,
2,Philadelphia Union[R1 trade 1],Joshua Yaro,Defender,Georgetown,Baltimore Bohemians,2016,,,,,,,
3,Philadelphia Union,Keegan Rosenberry,Defender,Georgetown,Reading United AC,2016,,,,,,,
4,Chicago Fire[R1 trade 2],Brandon Vincent,Defender,Stanford,Portland Timbers U23s,2016,,,,,,,
5,Real Salt Lake,Omar Holness,Midfielder,North Carolina,Portland Timbers U23s,2016,,,,,,,
6,Philadelphia Union[R1 trade 3],Fabian Herbers,Midfielder,Creighton,,2016,,,,,,,
7,Orlando City SC,Richie Laryea,Midfielder,Akron,,2016,,,,,,,
8,San Jose Earthquakes,Andrew Tarbell,Goalkeeper,Clemson,New Orleans Jesters,2016,,,,,,,
9,Toronto FC,Tsubasa Endoh,Forward,Maryland,,2016,,,,,,,
10,New England Revolution,Jordan McCrary,Defender,North Carolina,Carolina Dynamo,2016,,,,,,,
11,D.C. United[R1 trade 4],Julian Büscher,Midfielder,Syracuse,K-W United FC,2016,,,,,,,
12,Chicago Fire[R1 trade 5],Jonathan Campbell,Defender,North Carolina,Seattle Sounders U-23,2016,,,,,,,
13,Orlando City SC[R1 trade 6],Hadji Barry,Forward,UCF,Orlando City U-23,2016,,,,,,,
14,Montreal Impact,Kyle Fisher,Defender,Clemson,Portland Timbers U23s,2016,,,,,,,
15,Colorado Rapids[R1 trade 7],Emmanuel Appiah,Midfielder,Cincinnati,GPS Portland Phoenix,2016,,,,,,,
16,Vancouver Whitecaps FC,Cole Seiler,Defender,Georgetown,Baltimore Bohemians,2016,,,,,,,
17,FC Dallas,Ryan Herman,Goalkeeper,Washington,Seattle Sounders U-23,2016,,,,,,,
18,New York Red Bulls,Justin Bilyeu,Defender,SIU Edwardsville,FC Tucson,2016,,,,,,,
19,Columbus Crew SC,Rodrigo Saravia,Midfielder,Florida Gulf Coast,,2016,,,,,,,
20,Portland Timbers,Ben Polk,Forward,Syracuse,K-W United FC,2016,,,,,,,
21,Columbus Crew SC[R2 trade 1],Chase Minter,Midfielder,Cal Poly,Ventura County Fusion,2016,,,,,,,
22,Chicago Fire[R2 trade 2],Alex Morrell,Forward,North Florida,,2016,,,,,,,
23,Philadelphia Union,Taylor Washington,Defender,George Mason,D.C. United U-23,2016,,,,,,,
24,Montreal Impact[R2 trade 3],Michael Salazar,Forward,UC Riverside,OC Blues U-23,2016,,,,,,,
25,Real Salt Lake,Max Lachowecki,Defender,Notre Dame,,2016,,,,,,,
26,Houston Dynamo,Ivan Magalhães,Defender,Maryland,,2016,,,,,,,
27,Seattle Sounders FC[R2 trade 4],Tony Alfaro,Defender,Cal State Dominguez Hills,Ventura County Fusion,2016,,,,,,,
28,San Jose Earthquakes,Patrick Hodan,Midfielder,Notre Dame,,2016,,,,,,,
29,Vancouver Whitecaps FC[R2 trade 5],Christopher Hellmann,Forward,Lynn,Des Moines Menace,2016,,,,,,,
30,New England Revolution,Michael Gamble,Forward,Wake Forest,Baltimore Bohemians,2016,,,,,,,
31,Columbus Crew SC[R2 trade 6],Kyle Parker,Forward,Charlotte,,2016,,,,,,,
32,D.C. United[R2 trade 7],Paul Clowes,Midfielder,Clemson,Orlando City U-23,2016,,,,,,,
33,FC Dallas[R2 trade 8],Timo Pitter,Midfielder,Creighton,,2016,,,,,,,
34,Montreal Impact,Eric Verso,Midfielder,Stanford,,2016,,,,,,,
